70;Житловий будинок (мур.);к.19-п.20ст.;вул. Ак. Гнатюка, 14;125-іф
71;Житловий будинок (мур.);к.19-п.20 ст.;вул. Ак. Гнатюка, 15;126-іф
72;Житловий будинок (мур.);к.19-п.20ст.;вул. Ак. Гнатюка, 16;127-іф
73;Житловий будинок (мур.);к.19-п.20ст.;вул. Ак. Гнатюка, 17;128-іф
74;Житловий будинок (мур.);к.19-п.20ст.;вул. Ак. Гнатюка, 18;129-іф
75;Житловий будинок (мур.);к.19-п.20ст.;вул. Ак. Гнатюка, 19;130-іф
76;Житловий будинок (мур.);к.19-п.20ст.;вул. Ак. Гнатюка, 20;131-іф
77;Житловий будинок (мур.);к.19-п.20ст.;вул. Ак. Гнатюка, 21;132-іф
78;Житловий будинок (мур.);к.19-п.20 ст.;вул. Ак. Гнатюка, 22;133-іф
79;Житловий будинок (мур.);к.19-п.20ст.;вул. Ак. Гнатюка, 23;134-іф
80;Житловий будинок (мур.);к.19-п.20 ст.;вул. Ак. Гнатюка, 24;135-іф
81;Житловий будинок (мур.);к.19-п.20ст.;вул. Ак. Гнатюка, 25;136-іф
82;Житловий будинок (мур.);к.19-п.20ст.;вул. Ак. Гнатюка, 26;137-іф
83;Житловий будинок (мур.);1910р.;вул. С. Гординського, 2;246-іф
84;Житловий будинок (мур.);1908 р.;вул. С. Гординського, 4;247-іф
85;Житловий будинок (мур.);к.19-п.20ст.;вул. С. Гординського, 5;248-іф
86;Житловий будинок (мур.);1937 р.;вул. С. Гординського, 6;1136
87;Житловий будинок (мур.);к. 19-п.20 ст.;вул. С. Гординського, 7;249-іф
88;Жіноча семирічна школа (мур.);1895 р„;вул. С. Гординського, 10;250-іф
89;Житловий будинок (мур.);1909р.;вул. С. Гординського, 11;251-іф
90;Житловий будинок (мур.);1900р.;вул. С. Гординського, 12;535-іф
91;Житловий будинок (мур.);к. 19-п.20 ст.;вул. С. Гординського, 13;252-іф
92;Житловий будинок (мур.);1909 р.;вул. С. Гординського, 15;253-іф
93;Житловий будинок (мур.);к. 19-п.20 ст.;вул. С. Гординського, 17;254-іф
94;"Костел ""Аве Марія"" (мур.)";1904 р.;вул. С. Гординського, 20;255-іф
95;Житловий будинок (мур.);п. 20 ст.;вул. С. Гординського, 23;1137
96;Житловий будинок (мур.);1910 р.;вул. М. Грушевського, 1;166-іф
97;Кінотеатр (мур.);1929 р.;вул. М. Грушевського, 3;167-іф
98;Банк (мур.);1908 р;вул. М. Грушевського, 4;168-іф
99;Чоловіча семирічна школа                                                                           ім. Міцкевича (мур.);1894 р.;вул. М. Грушевського, 5;169-іф
100;Житловий будинок (мур.);п.20 ст.;вул. М. Грушевського, 6;170-іф
101;Будинок страхової компанії (мур.);1904 р.;вул. М. Грушевського, 7;171-іф
102;Житловий будинок (мур.);п. 20 ст.;вул. М. Грушевського, 8;1048
103;Житловий будинок (мур.);1907 р.;вул. М. Грушевського, 9;462-іф
104;Житловий будинок (мур.);п.20 ст.;вул. М. Грушевського, 9а;1049
105;Житловий будинок (мур.);п.20 ст.;вул. М. Грушевського, 9б;1050
106;Житловий будинок (мур.);п.19 ст.;вул. М. Грушевського, 13;172-іф
107;Жіноча школа ім.королеви Ядвіги (мур.);1877 р.;вул. М. Грушевського, 16;173-іф
108;Житловий будинок (мур.);п.20 ст.;вул. М. Грушевського, 16а;1051
109;Житловий будинок                        (кам'яниця Й. Маланюка) (мур.);1931 р.;вул. М. Грушевського, 17;174-іф
110;"Будинок українського культурно-спортив. товариства ""Сокіл"" (мур.)";1912р.;вул. М.Грушевського, 18;175-іф
111;Будинок союзу польських залізничників (мур.);1925-1927рр.;вул. М. Грушевського, 19;176-іф
112;Житловий будинок (мур.);1895р.;вул. М. Грушевського, 20;177-іф
113;Житловий будинок (мур.);п.20 ст.;вул. М. Грушевського, 29;178-іф
114;Окружна фінансова дирекція (мур.);1912р.;вул. М. Грушевського, 31;179-іф
115;Житловий будинок (мур.);п.20ст.;вул. М. Грушевського, 33;180-іф
116;Житловий будинок (мур.);1906 р.;вул. М. Грушевського, 35;181-іф
117;Житловий будинок (мур.);1906 р.;вул. М. Грушевського, 37;182-іф
118;Житловий будинок (мур.);1906 р.;вул. М. Грушевського, 38;183-іф
119;Житловий будинок (мур.);1904 р.;вул. М. Грушевського, 39;184-іф
120;Житловий будинок (мур.);1904 р.;вул. М. Грушевського, 41;185-іф
121;Житловий будинок (мур.);1900-і рр.;вул. М. Грушевського, 42;186-іф
122;Костел єзуїтів (мур.);1895 р.;вул. Грюнвальдська, 1;44--іф/1
123;Палати духовенства (мур.);1895р.;вул. Грюнвальдська. 3;44--іф/2
124;Житловий будинок (мур);п.20ст.;вул. Грюнвальдська, 2;34-іф
125;Житловий будинок (мур.);1912р.;вул. Грюнвальдська, 7;45-іф
126;Житловий будинок (мур.);1912р.;вул. Грюнвальдська, 9;46-іф
127;Адмінбудииок залізничної дирекції (мур.);1914р.;вул. Грюнвальдська, 11;47-іф
128;Житловий будинок (мур.);1938 р.;вул. Грюнвальдська, 15;48-іф
129;Житловий будинок (мур.);1910 р.;вул. Короля Данила, 1;327-іф
130;Житловий будинок (мур.);1912 р.;вул. Короля Данила, 3;329-іф
131;Житловий будинок (мур.);1911 р.;вул. Короля Данила, 4;328-іф
132;Житловий будинок (мур.);1900-і рр.;вул. Короля Данила, 5;330-іф
133;Житловий будинок (мур.);1912 р.;вул. Короля Данила, 6;331-іф
